R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR.,B_SIG_STR.,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_SIG_TD,B_SIG_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_CTRL,B_CTRL,R_LANDED_HEAD,B_LANDED_HEAD,R_LANDED_BODY,B_LANDED_BODY,R_LANDED_LEG,B_LANDED_LEG,R_DISTANCE,B_DISTANCE,R_LANDED_CLINCH,B_LANDED_CLINCH,R_LANDED_GROUND,B_LANDED_GROUND,win_by,Referee,location,Weight_class,Winner,Winner By Corner,title_bout,B_age,R_age,B_Stance,R_Stance,B_Height_cms,R_Height_cms,B_current_win_streak,R_current_win_streak,R_TOTAL_TD,B_TOTAL_TD,R_ATT_HEAD,B_ATT_HEAD,R_ATT_BODY,B_ATT_BODY,R_ATT_LEG,B_ATT_LEG,R_ATT_CLINCH,B_ATT_CLINCH,R_ATT_GROUND,B_ATT_GROUND,Day,Month,Year
Fabio Maldonado,Kyle Kingsbury,0,0,78,95,54,49,189,209,2,5,100,35,2,0,94,157,45,43,32,24,1,28,119,149,14,26,1,3,Decision - Unanimous,Chris Tognoni,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Kyle Kingsbury,Blue,False,29,31,Orthodox,Orthodox,193.04,185.42,0,1,2,14,93,120,50,31,1,40,23,38,2,4,4,June,2011
Clay Guida,Anthony Pettis,0,0,19,14,29,27,112,80,5,0,62,0,0,1,617,41,8,12,2,0,9,2,40,47,5,1,6,2,Decision - Unanimous,Steve Mazzagatti,"Las Vegas, Nevada, USA",Lightweight Bout,Clay Guida,Red,False,24,29,Orthodox,Orthodox,177.8,170.18,0,1,8,0,54,47,2,2,9,2,6,2,19,2,4,June,2011
Chuck O'Neil,Chris Cope,0,0,47,66,37,27,126,256,0,0,0,0,0,0,104,35,18,29,9,19,20,18,119,228,6,9,0,0,Decision - Unanimous,Josh Rosenthal,"Las Vegas, Nevada, USA",Welterweight Bout,Chris Cope,Blue,False,28,25,Unknown,Unknown,182.88,187.96,0,0,2,0,90,177,11,35,24,26,6,10,0,0,4,June,2011
Danny Downes,Jeremy Stephens,0,0,32,55,36,62,107,121,0,6,0,75,1,3,28,496,9,39,16,10,7,6,70,59,15,16,0,9,Decision - Unanimous,Steve Mazzagatti,"Las Vegas, Nevada, USA",Lightweight Bout,Jeremy Stephens,Blue,False,25,25,Orthodox,Orthodox,175.26,182.88,0,0,0,8,56,70,22,12,10,6,18,19,0,10,4,June,2011
Ed Herman,Tim Credeur,1,0,11,11,57,45,19,24,0,0,0,0,0,0,3,0,11,9,0,0,0,2,14,24,1,0,4,0,KO/TKO,Herb Dean,"Las Vegas, Nevada, USA",Middleweight Bout,Ed Herman,Red,False,33,30,Orthodox,Orthodox,190.5,185.42,3,0,0,0,18,22,1,0,0,2,1,0,4,0,4,June,2011
Clay Harvison,Justin Edwards,0,0,57,42,52,46,170,144,1,7,100,35,2,0,230,413,34,26,22,10,1,6,70,68,22,14,11,1,Decision - Split,Josh Rosenthal,"Las Vegas, Nevada, USA",Welterweight Bout,Clay Harvison,Red,False,28,30,Orthodox,Orthodox,177.8,185.42,0,0,1,20,85,72,22,11,1,7,25,19,13,3,4,June,2011
Scott Jorgensen,Ken Stone,0,0,15,18,53,42,30,49,1,0,100,0,0,0,69,21,12,10,2,5,1,3,20,39,2,2,5,0,KO/TKO,Steve Mazzagatti,"Las Vegas, Nevada, USA",Bantamweight Bout,Scott Jorgensen,Red,False,28,28,Southpaw,Orthodox,172.72,165.1,0,0,1,0,25,32,2,5,1,5,2,3,6,0,4,June,2011
Reuben Duran,Francisco Rivera,0,0,42,22,59,57,132,70,2,0,40,0,2,3,415,58,14,10,17,5,11,7,44,24,13,8,11,3,Submission,Herb Dean,"Las Vegas, Nevada, USA",Bantamweight Bout,Reuben Duran,Red,False,29,27,Orthodox,Orthodox,172.72,170.18,0,0,5,1,41,26,19,5,11,7,16,10,11,4,4,June,2011
Gleison Tibau,Rafaello Oliveira,1,0,19,12,33,25,77,51,3,0,100,0,2,0,141,14,18,4,1,6,0,2,41,47,2,1,9,0,Submission,Kim Winslow,"Las Vegas, Nevada, USA",Lightweight Bout,Gleison Tibau,Red,False,29,27,Orthodox,Southpaw,172.72,177.8,0,0,3,3,54,36,2,9,0,3,2,1,13,0,28,May,2011
Stefan Struve,Travis Browne,0,1,10,17,43,47,23,37,0,1,0,100,2,0,39,73,4,9,4,4,2,4,21,29,2,4,0,3,KO/TKO,Steve Mazzagatti,"Las Vegas, Nevada, USA",Heavyweight Bout,Travis Browne,Blue,False,28,23,Orthodox,Orthodox,198.12,210.82,1,0,0,1,15,23,5,6,3,7,2,4,0,3,28,May,2011
Brian Stann,Jorge Santiago,2,0,47,14,47,32,135,45,0,0,0,0,0,0,102,15,26,10,4,2,17,2,75,40,0,1,15,0,KO/TKO,Herb Dean,"Las Vegas, Nevada, USA",Middleweight Bout,Brian Stann,Red,False,30,30,Orthodox,Orthodox,185.42,185.42,1,0,0,2,73,38,6,2,20,3,0,3,24,0,28,May,2011
Thiago Alves,Rick Story,0,0,41,62,36,36,125,187,1,4,33,28,0,0,60,459,34,30,3,13,4,19,97,130,6,27,0,1,Decision - Unanimous,Kim Winslow,"Las Vegas, Nevada, USA",Welterweight Bout,Rick Story,Blue,False,26,27,Southpaw,Orthodox,175.26,175.26,0,0,3,14,102,129,3,19,6,21,14,38,0,1,28,May,2011
Miguel Torres,Demetrious Johnson,0,0,10,13,52,56,115,92,0,5,0,100,3,0,273,520,3,2,7,6,0,5,8,18,8,4,1,0,Decision - Unanimous,Josh Rosenthal,"Las Vegas, Nevada, USA",Bantamweight Bout,Demetrious Johnson,Blue,False,24,30,Orthodox,Orthodox,160.02,175.26,1,1,1,5,10,9,8,8,1,6,9,5,2,0,28,May,2011
Quinton Jackson,Matt Hamill,0,0,55,32,42,37,135,87,0,0,0,0,0,0,62,75,30,17,21,1,4,14,94,77,22,3,0,0,Decision - Unanimous,Herb Dean,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Quinton Jackson,Red,False,34,32,Orthodox,Orthodox,185.42,185.42,3,3,0,17,98,63,26,3,4,19,34,8,0,0,28,May,2011
Frank Mir,Roy Nelson,0,0,46,21,70,41,103,77,6,0,75,0,0,0,444,240,28,13,16,3,2,5,23,23,22,12,10,0,Decision - Unanimous,Josh Rosenthal,"Las Vegas, Nevada, USA",Heavyweight Bout,Frank Mir,Red,False,34,32,Orthodox,Southpaw,182.88,190.5,2,2,8,1,46,42,17,4,2,5,32,28,10,0,28,May,2011
Kendall Grove,Tim Boetsch,0,0,20,17,44,77,95,111,1,7,33,50,0,0,108,600,1,4,12,8,7,5,32,11,12,8,1,3,Decision - Unanimous,Steve Mazzagatti,"Las Vegas, Nevada, USA",Middleweight Bout,Tim Boetsch,Blue,False,30,28,Orthodox,Orthodox,182.88,198.12,1,3,3,14,21,7,12,10,12,5,12,8,1,3,28,May,2011
Michael McDonald,Chris Cariaso,0,0,32,44,47,51,72,98,1,1,50,25,0,0,129,98,19,12,4,17,9,15,65,81,0,1,2,0,Decision - Split,Josh Rosenthal,"Las Vegas, Nevada, USA",Bantamweight Bout,Michael McDonald,Red,False,30,20,Southpaw,Orthodox,160.02,175.26,1,1,2,4,53,51,5,17,9,17,0,3,2,1,28,May,2011
Cole Escovedo,Renan Barao,0,0,29,46,44,52,84,139,0,6,0,85,0,0,12,513,10,20,14,17,5,9,60,83,1,1,1,3,Decision - Unanimous,Steve Mazzagatti,"Las Vegas, Nevada, USA",Bantamweight Bout,Renan Barao,Blue,False,24,29,Orthodox,Orthodox,167.64,170.18,0,0,1,7,42,55,15,19,8,14,3,1,2,4,28,May,2011
Jake Ellenberger,Sean Pierson,1,0,9,3,47,21,19,14,1,0,100,0,0,0,8,0,6,3,1,0,2,0,16,14,1,0,1,0,KO/TKO,Herb Dean,"Toronto, Ontario, Canada",Welterweight Bout,Jake Ellenberger,Red,False,35,26,Southpaw,Orthodox,182.88,175.26,1,0,1,0,13,13,3,0,3,1,2,0,1,0,30,April,2011
Vladimir Matyushenko,Jason Brilz,1,0,8,1,88,100,9,1,0,0,0,0,0,0,2,0,8,1,0,0,0,0,6,1,0,0,3,0,KO/TKO,Dan Miragliotta,"Toronto, Ontario, Canada",Light Heavyweight Bout,Vladimir Matyushenko,Red,False,35,40,Orthodox,Orthodox,180.34,182.88,2,1,0,0,9,1,0,0,0,0,0,0,3,0,30,April,2011
Mark Bocek,Benson Henderson,0,0,11,56,32,44,62,190,4,3,36,75,2,0,267,332,6,26,3,19,2,11,20,58,4,30,3,13,Decision - Unanimous,Yves Lavigne,"Toronto, Ontario, Canada",Lightweight Bout,Benson Henderson,Blue,False,27,29,Southpaw,Orthodox,175.26,172.72,0,0,11,4,26,88,5,25,3,13,7,44,7,24,30,April,2011
Georges St-Pierre,Jake Shields,0,0,85,78,34,19,252,423,2,0,66,0,0,0,47,20,54,34,21,27,10,17,239,399,1,0,2,0,Decision - Unanimous,Herb Dean,"Toronto, Ontario, Canada",UFC Welterweight Title Bout,Georges St-Pierre,Red,True,32,29,Orthodox,Orthodox,182.88,180.34,1,2,3,6,190,318,45,44,10,39,1,2,5,0,30,April,2011
Jose Aldo,Mark Hominick,1,0,94,71,43,39,258,274,5,1,55,50,1,0,553,258,72,50,4,17,18,4,166,149,0,1,28,20,Decision - Unanimous,John McCarthy,"Toronto, Ontario, Canada",UFC Featherweight Title Bout,Jose Aldo,Red,True,28,24,Orthodox,Orthodox,172.72,170.18,3,0,9,2,191,148,5,25,19,8,0,1,49,31,30,April,2011
Daniel Roberts,Claude Patrick,0,0,6,29,7,46,111,85,1,4,25,80,1,1,249,289,0,13,3,8,3,8,75,39,1,15,0,1,Decision - Unanimous,Dan Miragliotta,"Toronto, Ontario, Canada",Welterweight Bout,Claude Patrick,Blue,False,30,30,Orthodox,Southpaw,180.34,177.8,2,0,4,5,64,44,6,9,9,9,4,21,0,2,30,April,2011
Lyoto Machida,Randy Couture,1,0,15,5,31,21,49,24,0,0,0,0,0,0,2,6,9,4,3,1,3,0,44,21,1,0,1,0,KO/TKO,Yves Lavigne,"Toronto, Ontario, Canada",Light Heavyweight Bout,Lyoto Machida,Red,False,47,32,Orthodox,Southpaw,185.42,185.42,7,8,0,3,40,21,3,2,4,0,2,2,1,0,30,April,2011
Nate Diaz,Rory MacDonald,0,0,26,42,41,42,112,121,0,7,0,70,0,0,149,315,10,22,6,6,10,14,35,58,18,6,0,14,Decision - Unanimous,John McCarthy,"Toronto, Ontario, Canada",Welterweight Bout,Rory MacDonald,Blue,False,21,26,Orthodox,Southpaw,182.88,182.88,1,5,7,10,33,66,12,17,17,16,27,19,0,22,30,April,2011
Yves Jabouin,Pablo Garza,0,0,16,26,43,54,37,55,0,0,0,0,0,1,40,26,6,10,1,8,9,8,37,30,0,7,0,8,Submission,Yves Lavigne,"Toronto, Ontario, Canada",Featherweight Bout,Pablo Garza,Blue,False,27,31,Orthodox,Orthodox,185.42,170.18,1,0,0,1,23,25,2,11,12,12,0,10,0,8,30,April,2011
Ivan Menjivar,Charlie Valencia,1,0,8,5,33,50,29,10,0,0,0,0,0,0,13,0,5,1,2,3,1,1,10,7,4,3,4,0,KO/TKO,John McCarthy,"Toronto, Ontario, Canada",Bantamweight Bout,Ivan Menjivar,Red,False,36,28,Orthodox,Orthodox,160.02,167.64,0,0,0,0,18,4,4,3,2,3,5,3,9,0,30,April,2011
Jason MacDonald,Ryan Jensen,0,0,0,0,0,0,1,12,0,0,0,0,1,1,39,45,0,0,0,0,0,0,1,2,0,0,0,0,Submission,Herb Dean,"Toronto, Ontario, Canada",Middleweight Bout,Jason MacDonald,Red,False,33,35,Orthodox,Orthodox,185.42,190.5,0,2,1,0,1,5,0,0,0,0,0,0,0,3,30,April,2011
John Makdessi,Kyle Watson,1,0,50,25,51,17,103,141,0,0,0,0,0,0,1,17,31,12,9,6,10,7,87,134,7,3,0,0,KO/TKO,Dan Miragliotta,"Toronto, Ontario, Canada",Lightweight Bout,John Makdessi,Red,False,31,25,Southpaw,Orthodox,182.88,172.72,1,1,0,3,65,112,18,17,15,12,11,7,0,0,30,April,2011
DaMarques Johnson,Amir Sadollah,0,0,27,62,47,52,63,134,2,2,50,100,0,0,155,191,23,44,3,13,1,5,40,51,7,14,2,26,KO/TKO,Mario Yamasaki,"Seattle, Washington, USA",Welterweight Bout,Amir Sadollah,Blue,False,30,28,Orthodox,Orthodox,177.8,185.42,1,0,4,2,51,93,5,18,1,6,12,20,5,46,26,March,2011
Anthony Johnson,Dan Hardy,1,0,20,2,55,15,135,21,4,0,80,0,2,3,765,0,17,1,0,1,3,0,5,10,4,1,13,0,Decision - Unanimous,Josh Rosenthal,"Seattle, Washington, USA",Welterweight Bout,Anthony Johnson,Red,False,28,27,Orthodox,Orthodox,182.88,187.96,4,1,5,1,32,10,0,2,4,1,5,3,26,0,26,March,2011
Chan Sung Jung,Leonard Garcia,0,0,30,15,30,17,119,88,1,0,50,0,1,0,162,0,22,10,2,2,6,3,84,83,2,2,8,0,Submission,Dan Miragliotta,"Seattle, Washington, USA",Featherweight Bout,Chan Sung Jung,Red,False,31,24,Orthodox,Orthodox,177.8,170.18,0,0,2,1,90,75,2,3,8,9,2,4,14,0,26,March,2011
John Hathaway,Kris McCray,0,0,43,48,50,60,299,177,3,3,50,42,4,0,257,456,28,15,12,20,3,13,55,48,10,16,10,13,Decision - Split,Herb Dean,"Seattle, Washington, USA",Welterweight Bout,John Hathaway,Red,False,29,23,Orthodox,Orthodox,182.88,185.42,0,4,6,7,69,42,13,23,3,15,13,18,17,14,26,March,2011
Alex Caceres,Mackens Semerzier,0,0,2,9,28,90,10,28,0,3,0,60,0,1,0,172,2,7,0,1,0,1,7,3,0,1,0,6,Submission,Mario Yamasaki,"Seattle, Washington, USA",Featherweight Bout,Mackens Semerzier,Blue,False,30,22,Orthodox,Southpaw,175.26,177.8,0,0,0,5,7,8,0,1,0,1,0,1,0,6,26,March,2011
Jon Madsen,Mike Russow,0,0,27,14,45,46,65,59,0,3,0,50,0,0,0,206,22,12,2,2,3,0,54,25,5,3,0,0,TKO - Doctor's Stoppage,Anthony Hamlett,"Seattle, Washington, USA",Heavyweight Bout,Mike Russow,Blue,False,34,31,Orthodox,Orthodox,185.42,182.88,2,4,0,6,52,27,4,3,4,0,6,5,0,0,26,March,2011
Michael McDonald,Edwin Figueroa,0,0,51,45,47,45,118,124,5,0,100,0,3,0,240,235,35,24,9,16,7,5,93,88,5,1,3,5,Decision - Unanimous,Josh Rosenthal,"Seattle, Washington, USA",Bantamweight Bout,Michael McDonald,Red,False,26,20,Orthodox,Orthodox,170.18,175.26,0,0,5,0,88,72,11,20,8,6,8,5,6,5,26,March,2011
Phil Davis,Rogerio Nogueira,0,0,42,8,41,14,143,68,4,0,36,0,0,0,369,0,18,7,16,0,8,1,65,54,5,0,20,0,Decision - Unanimous,Herb Dean,"Seattle, Washington, USA",Light Heavyweight Bout,Phil Davis,Red,False,34,26,Southpaw,Orthodox,187.96,187.96,2,4,11,0,67,52,23,1,11,1,6,0,30,0,26,March,2011
Johny Hendricks,TJ Waldburger,1,0,7,3,87,33,10,9,0,0,0,0,0,0,26,31,3,0,4,2,0,1,3,8,2,1,3,0,KO/TKO,Mario Yamasaki,"Seattle, Washington, USA",Welterweight Bout,Johny Hendricks,Red,False,22,27,Orthodox,Southpaw,180.34,175.26,1,4,0,1,4,6,4,2,0,1,2,1,3,0,26,March,2011
Mario Miranda,Aaron Simpson,0,0,14,59,93,78,63,158,0,10,0,38,0,0,69,761,6,12,4,4,4,43,4,12,11,36,0,20,Decision - Unanimous,Dan Miragliotta,"Seattle, Washington, USA",Middleweight Bout,Aaron Simpson,Blue,False,36,31,Orthodox,Orthodox,182.88,190.5,3,0,2,26,7,28,4,4,4,43,11,36,0,27,26,March,2011
Sean McCorkle,Christian Morecraft,0,0,8,22,57,47,19,96,1,1,50,50,0,2,78,368,6,16,2,3,0,3,10,17,0,3,3,15,Submission,Anthony Hamlett,"Seattle, Washington, USA",Heavyweight Bout,Christian Morecraft,Blue,False,24,34,Orthodox,Orthodox,198.12,200.66,0,1,2,2,12,40,2,3,0,3,1,4,3,25,26,March,2011
Waylon Lowe,Nik Lentz,0,0,46,51,75,56,68,114,4,0,66,0,1,1,270,16,43,30,3,13,0,8,53,81,5,2,2,7,Submission,Anthony Hamlett,"Seattle, Washington, USA",Lightweight Bout,Nik Lentz,Blue,False,26,30,Orthodox,Southpaw,172.72,170.18,1,0,6,3,58,66,3,15,0,10,6,3,2,7,26,March,2011
Luiz Cane,Eliot Marshall,1,0,29,2,46,28,72,7,0,0,0,0,0,0,59,0,27,2,0,0,2,0,14,7,0,0,24,0,KO/TKO,Dan Miragliotta,"Newark, New Jersey, USA",Light Heavyweight Bout,Luiz Cane,Red,False,30,29,Orthodox,Southpaw,187.96,187.96,3,0,0,2,61,7,0,0,2,0,0,0,49,0,19,March,2011
Urijah Faber,Eddie Wineland,0,0,49,11,44,15,122,81,2,1,18,33,0,0,306,103,36,8,12,1,1,2,56,64,6,3,19,1,Decision - Unanimous,Keith Peterson,"Newark, New Jersey, USA",Bantamweight Bout,Urijah Faber,Red,False,26,31,Orthodox,Orthodox,170.18,167.64,0,0,11,3,89,65,19,2,2,4,6,4,48,3,19,March,2011
Dan Miller,Nate Marquardt,0,0,10,47,26,60,65,110,2,3,33,100,2,0,119,438,7,41,2,2,1,4,34,49,2,3,0,20,Decision - Unanimous,Dan Miragliotta,"Newark, New Jersey, USA",Middleweight Bout,Nate Marquardt,Blue,False,31,29,Orthodox,Orthodox,182.88,185.42,4,3,6,3,33,71,3,3,2,4,4,3,0,26,19,March,2011
Jim Miller,Kamal Shalorus,1,0,43,26,32,20,172,138,1,1,100,33,2,0,206,60,30,14,9,6,4,6,114,128,5,0,8,1,KO/TKO,Kevin Mulhall,"Newark, New Jersey, USA",Lightweight Bout,Jim Miller,Red,False,38,27,Orthodox,Southpaw,172.72,172.72,0,2,1,3,111,114,15,8,5,8,8,1,9,1,19,March,2011
Edson Barboza,Anthony Njokuani,0,0,46,72,30,38,153,194,2,1,100,100,0,0,45,28,26,34,10,16,10,22,147,175,2,2,0,4,Decision - Unanimous,Keith Peterson,"Newark, New Jersey, USA",Lightweight Bout,Edson Barboza,Red,False,31,25,Orthodox,Orthodox,185.42,180.34,0,1,2,1,117,124,15,35,19,29,4,5,0,8,19,March,2011
Mauricio Rua,Jon Jones,0,1,9,75,22,66,42,142,0,3,0,100,0,0,5,470,6,50,2,15,1,10,36,50,1,10,0,39,KO/TKO,Herb Dean,"Newark, New Jersey, USA",UFC Light Heavyweight Title Bout,Jon Jones,Blue,True,23,29,Orthodox,Orthodox,193.04,185.42,3,0,0,3,32,83,7,18,1,12,4,12,0,51,19,March,2011
Mirko Filipovic,Brendan Schaub,0,1,21,40,53,48,71,156,0,4,0,50,0,0,110,417,12,23,8,16,1,1,18,28,15,22,1,15,KO/TKO,Herb Dean,"Newark, New Jersey, USA",Heavyweight Bout,Brendan Schaub,Blue,False,28,36,Orthodox,Southpaw,193.04,187.96,0,1,0,8,26,60,11,22,2,1,20,30,1,25,19,March,2011
Ricardo Almeida,Mike Pyle,0,0,48,36,57,49,103,120,1,1,5,33,0,1,312,55,13,12,20,16,15,8,67,57,8,14,7,1,Decision - Unanimous,Kevin MacDonald,"Newark, New Jersey, USA",Welterweight Bout,Mike Pyle,Blue,False,35,34,Orthodox,Orthodox,182.88,182.88,0,0,18,3,39,44,22,18,23,11,10,15,7,1,19,March,2011
Joseph Benavidez,Ian Loveland,0,0,48,45,40,50,147,98,5,0,29,0,0,0,227,15,18,32,25,11,5,2,109,79,5,4,2,2,Decision - Unanimous,Kevin Mulhall,"Newark, New Jersey, USA",Bantamweight Bout,Joseph Benavidez,Red,False,27,26,Orthodox,Southpaw,172.72,162.56,1,0,17,1,72,76,36,12,10,2,5,8,4,3,19,March,2011
Kurt Pellegrino,Gleison Tibau,0,0,47,44,39,42,171,149,1,2,16,28,0,0,189,172,30,29,12,15,5,0,103,92,6,5,10,2,Decision - Split,Herb Dean,"Newark, New Jersey, USA",Lightweight Bout,Gleison Tibau,Blue,False,27,31,Southpaw,Orthodox,177.8,172.72,0,0,6,7,103,87,12,16,5,0,7,8,10,3,19,March,2011
Erik Koch,Raphael Assuncao,1,0,4,9,22,45,19,20,0,0,0,0,0,0,2,0,2,3,1,3,1,3,18,20,0,0,0,0,KO/TKO,Kevin Mulhall,"Newark, New Jersey, USA",Featherweight Bout,Erik Koch,Red,False,28,22,Orthodox,Southpaw,165.1,177.8,0,0,0,0,16,12,1,4,1,4,0,0,0,0,19,March,2011
Constantinos Philippou,Nick Catone,0,0,23,31,46,52,77,116,0,3,0,37,0,0,0,518,13,22,8,4,2,5,40,35,6,9,2,11,Decision - Unanimous,Keith Peterson,"Newark, New Jersey, USA",Catch Weight Bout,Nick Catone,Blue,False,29,31,Southpaw,Orthodox,182.88,180.34,1,0,0,8,38,47,9,5,2,7,7,9,2,15,19,March,2011
Alessio Sakara,Chris Weidman,0,0,27,45,38,42,79,171,0,5,0,62,0,0,3,479,11,39,11,0,5,6,60,72,5,2,2,18,Decision - Unanimous,Gary Copeland,"Louisville, Kentucky, USA",Middleweight Bout,Chris Weidman,Blue,False,26,29,Orthodox,Orthodox,187.96,182.88,0,0,0,8,50,99,15,0,6,6,8,7,3,26,3,March,2011
Joe Stevenson,Danny Castillo,0,0,12,55,26,53,55,132,2,5,33,45,4,0,223,313,9,30,3,17,0,8,40,71,3,12,1,15,Decision - Unanimous,Gary Copeland,"Louisville, Kentucky, USA",Lightweight Bout,Danny Castillo,Blue,False,31,28,Orthodox,Orthodox,175.26,170.18,0,1,6,11,39,78,5,17,1,8,4,17,1,15,3,March,2011
Brian Bowles,Damacio Page,0,0,19,17,31,34,62,50,1,0,100,0,1,0,8,18,17,8,2,2,0,7,50,48,0,1,3,0,Submission,Chris Kinman,"Louisville, Kentucky, USA",Bantamweight Bout,Brian Bowles,Red,False,28,30,Orthodox,Orthodox,167.64,170.18,0,0,1,0,57,37,4,3,0,9,0,1,11,0,3,March,2011
Steve Cantwell,Cyrille Diabate,0,1,28,146,26,73,112,225,1,1,14,100,0,0,85,97,6,90,13,30,9,26,101,174,2,12,1,9,Decision - Unanimous,Herb Dean,"Louisville, Kentucky, USA",Light Heavyweight Bout,Cyrille Diabate,Blue,False,37,24,Southpaw,Orthodox,198.12,187.96,1,1,7,1,72,136,23,33,10,29,2,14,2,10,3,March,2011
Diego Sanchez,Martin Kampmann,0,1,51,77,25,38,202,202,1,0,6,0,0,0,98,22,41,72,8,4,2,1,153,168,20,18,0,0,Decision - Unanimous,Herb Dean,"Louisville, Kentucky, USA",Welterweight Bout,Diego Sanchez,Red,False,28,29,Orthodox,Southpaw,182.88,177.8,4,6,15,0,186,192,14,7,2,1,49,32,0,0,3,March,2011
Thiago Tavares,Shane Roller,0,1,22,26,31,24,71,106,1,0,100,0,0,0,29,12,13,13,6,4,3,9,67,103,1,1,0,2,KO/TKO,Mario Yamasaki,"Louisville, Kentucky, USA",Lightweight Bout,Shane Roller,Blue,False,31,26,Orthodox,Orthodox,177.8,170.18,0,2,1,1,54,82,13,13,3,11,3,1,0,2,3,March,2011
Takeya Mizugaki,Reuben Duran,0,0,43,67,46,46,133,186,4,0,100,0,0,0,254,60,20,43,7,15,16,9,75,123,5,17,8,1,Decision - Split,Herb Dean,"Louisville, Kentucky, USA",Bantamweight Bout,Takeya Mizugaki,Red,False,27,27,Orthodox,Orthodox,170.18,170.18,0,0,4,2,60,118,7,16,25,9,6,19,11,1,3,March,2011
CB Dollaway,Mark Munoz,0,1,2,4,40,57,5,7,1,0,100,0,0,0,12,5,0,4,1,0,1,0,4,3,0,1,1,2,KO/TKO,Mario Yamasaki,"Louisville, Kentucky, USA",Middleweight Bout,Mark Munoz,Blue,False,33,27,Orthodox,Orthodox,182.88,187.96,0,0,1,0,2,7,2,0,1,0,0,2,1,2,3,March,2011
Rob Kimmons,Dongi Yang,0,1,1,57,6,80,33,181,1,1,100,100,0,2,20,497,1,46,0,9,0,2,12,14,0,0,0,49,KO/TKO,Gary Copeland,"Louisville, Kentucky, USA",Middleweight Bout,Dongi Yang,Blue,False,26,30,Southpaw,Orthodox,177.8,177.8,0,1,1,1,15,60,0,9,0,2,2,0,1,57,3,March,2011
Igor Pokrajac,Todd Brown,1,0,17,15,44,65,60,32,0,0,0,0,0,0,35,126,17,6,0,3,0,6,35,15,3,8,0,0,KO/TKO,Chris Kinman,"Louisville, Kentucky, USA",Light Heavyweight Bout,Igor Pokrajac,Red,False,34,32,Orthodox,Orthodox,180.34,182.88,0,0,0,3,38,14,0,3,0,6,3,8,0,0,3,March,2011
David Branch,Rousimar Palhares,0,0,6,2,26,66,35,5,1,0,100,0,0,3,199,26,2,2,2,0,2,0,16,3,0,0,3,0,Submission,Mario Yamasaki,"Louisville, Kentucky, USA",Middleweight Bout,Rousimar Palhares,Blue,False,31,29,Orthodox,Orthodox,172.72,185.42,1,0,1,2,18,2,3,0,2,1,0,0,7,0,3,March,2011
Chris Camozzi,Kyle Noke,0,0,4,4,57,40,7,10,0,1,0,100,0,1,41,0,0,2,2,1,2,1,7,9,0,0,0,1,Submission,John Sharp,"Sydney, New South Wales, Australia",Middleweight Bout,Kyle Noke,Blue,False,30,24,Southpaw,Orthodox,185.42,187.96,2,2,1,1,3,8,2,1,2,1,0,0,0,1,26,February,2011
Brian Ebersole,Chris Lytle,1,0,32,24,52,36,104,104,4,0,50,0,1,5,454,91,17,13,9,11,6,0,33,54,8,5,9,0,Decision - Unanimous,Steve Perceval,"Sydney, New South Wales, Australia",Welterweight Bout,Brian Ebersole,Red,False,36,30,Orthodox,Southpaw,180.34,182.88,0,0,8,0,42,48,10,17,9,1,13,12,15,0,26,February,2011
Nick Ring,Riki Fukuda,0,0,41,28,32,34,130,121,0,6,0,66,0,0,4,292,13,20,6,4,22,4,119,68,5,8,0,1,Decision - Unanimous,Leon Roberts,"Sydney, New South Wales, Australia",Middleweight Bout,Nick Ring,Red,False,30,32,Southpaw,Southpaw,182.88,182.88,0,0,1,9,82,68,7,7,36,7,6,12,0,2,26,February,2011
George Sotiropoulos,Dennis Siver,0,2,38,74,18,32,204,231,0,0,0,0,0,0,8,19,28,40,6,12,4,22,200,214,0,4,0,3,Decision - Unanimous,Leon Roberts,"Sydney, New South Wales, Australia",Lightweight Bout,Dennis Siver,Blue,False,32,33,Orthodox,Orthodox,167.64,177.8,0,7,13,0,176,181,18,17,10,28,4,9,0,3,26,February,2011
Alexander Gustafsson,James Te Huna,0,0,4,6,44,100,22,34,1,1,50,25,2,0,57,175,4,6,0,0,0,0,3,0,0,0,4,6,Submission,Marc Goddard,"Sydney, New South Wales, Australia",Light Heavyweight Bout,Alexander Gustafsson,Red,False,29,24,Orthodox,Orthodox,187.96,195.58,1,1,2,4,9,6,0,0,0,0,0,0,6,6,26,February,2011
BJ Penn,Jon Fitch,0,0,12,47,41,65,66,287,2,4,66,36,1,0,217,643,9,29,1,9,2,9,10,6,8,16,3,26,Decision - Majority,Herb Dean,"Sydney, New South Wales, Australia",Welterweight Bout,Draw,Draw,False,33,32,Orthodox,Orthodox,182.88,175.26,8,3,3,11,25,51,1,12,3,9,15,27,4,39,26,February,2011
